,pageid,YAKE_keywords
35,5716,"[('Stadt Wiesbaden', 0.00012056124519783488), ('Wiesbaden', 0.0001619975252128937), ('Stadt', 0.0006756608676634005), ('Landeshauptstadt Wiesbaden', 0.0010441166563033817), ('Wiesbadener', 0.0014404595814754067), ('Wiesbadens', 0.002684530417813667), ('Wiesbadener Innenstadt', 0.002729933339387162), ('Hessische', 0.003528102421592838), ('Stadt Mainz', 0.0036519293760231882), ('Innenstadt', 0.004097728620983532)]"
36,12049,"[('Stadt Regensburg', 3.1433487444658336e-05), ('Regensburg', 7.687264226616953e-05), ('Stadt', 0.00018037977302668305), ('Universität Regensburg', 0.0008810634566410255), ('Stadt Regensburgs', 0.0010058715982290667), ('Regensburger', 0.0011956608877247902), ('Bistum Regensburg', 0.0018068708954531191), ('Regensburgs', 0.002009670504958432), ('Kaiser', 0.0033075528674166438), ('Regensburger Juden', 0.00359869042821086)]"
37,49277,"[('Seoul', 0.00036696136650004604), ('Stadt', 0.001692954871733813), ('Seouls', 0.0018348068325002302), ('Stadt Seoul', 0.002271620321922685), ('Hauptstadt', 0.0032906186945901353), ('Zentrum Seouls', 0.004754372452075892), ('Seoul befindet', 0.005695550861427128), ('Korea', 0.005932779868320788), ('Seoul Metropolitan', 0.00796274814770955), ('Seoul National', 0.008375133383783703)]"
38,14174,"[('Rostock', 0.0002280398088260295), ('Stadt Rostock', 0.000360403897135698), ('Hansestadt Rostock', 0.0007257446256933186), ('Stadt', 0.0007476463587678684), ('Universität Rostock', 0.0009889346552041244), ('Rostocker', 0.001001328123805595), ('Rostocks', 0.0022803980882602952), ('Warnemünde', 0.0028172368331213144), ('Rostocker Heide', 0.0038172507566581154), ('Stadtgebiet Rostocks', 0.0042304482748364595)]"
39,10690,"[('Chromosomen', 0.0005617850708423476), ('Chromosom', 0.0026397863955109225), ('siehe', 0.006455251884172345), ('DNA', 0.007148991703903614), ('Chromosoms', 0.007165134502101075), ('verschiedenen Chromosomen', 0.009664389192061563), ('Gene', 0.010368012205940486), ('Chromosomen Gene', 0.012418934002839777), ('menschlichen Chromosomen', 0.01428296338292424), ('homologen Chromosomen', 0.015727319733371947)]"
40,19028,"[('Bayern München', 3.588441952134166e-05), ('Saison', 0.0003652679053105003), ('Bundesliga', 0.00044410945753570283), ('Borussia Dortmund', 0.00048636872833965724), ('Bayern', 0.0005355606603721754), ('München', 0.0005580050180647531), ('Borussia Mönchengladbach', 0.0013154252686875057), ('Millionen Euro', 0.0014640866358288677), ('Vereine', 0.0015470338087965735), ('Werder Bremen', 0.0018145556085630442)]"
41,3466135,"[('Elbe', 0.00011171969769530557), ('Hamburg', 0.0027157254533537486), ('Dresden', 0.0030466981033261203), ('Fluss Elbe', 0.003978408432232515), ('Staustufe Geesthacht', 0.004528589374240257), ('Fluss', 0.004529950744453881), ('Magdeburg', 0.004948138309706063), ('Name Elbe', 0.0056738584986563015), ('Weiße Elbe', 0.006702926675813939), ('deutschen', 0.006963741183236858)]"
42,10527,"[('Osttimor', 0.0002825787985491868), ('Osttimors', 0.0005193340081444514), ('Einwohner Osttimors', 0.0005491734058765136), ('Dili', 0.0012824170690454572), ('Timor', 0.00174820340633346), ('Insel Timor', 0.0018272585969035633), ('Regierung Osttimors', 0.0019926338301242195), ('Bevölkerung Osttimors', 0.0020052413308653478), ('Unabhängigkeit Osttimors', 0.0020870351815168026), ('Bevölkerung', 0.0023622575013448077)]"
43,42116,"[('Vancouver', 0.000296826479746907), ('British Columbia', 0.0006311985000508275), ('Stadt Vancouver', 0.0011861422190613785), ('Vancouver Island', 0.0013468059310683671), ('North Vancouver', 0.001558264025729057), ('Stadt', 0.0018135929703888504), ('Greater Vancouver', 0.001939466288081238), ('Vancouvers', 0.003927242655112923), ('Vancouver International', 0.004241268635785462), ('British', 0.004287190567803856)]"
44,3984,"[('Pest', 0.0004914202669778468), ('Yersinia pestis', 0.002743250448112396), ('Lungenpest', 0.006096267210091995), ('Beulenpest', 0.006937854094124896), ('Flöhe', 0.007315378395083809), ('Justinianische Pest', 0.008144819501911768), ('Ratten', 0.00816589975638453), ('Yersinia', 0.008473573110587452), ('Pulex irritans', 0.009479059153026324), ('Krankheit', 0.011702465072090792)]"
45,22203,"[('North Carolina', 4.185641143569109e-05), ('North Carolinas', 0.00014749402124957813), ('North', 0.0005270757996980301), ('Carolina', 0.0006190173324254693), ('South Carolina', 0.0014814089655054079), ('Carolinas', 0.002166560663489143), ('Vereinigten Staaten', 0.0024903981611534877), ('Staates', 0.003116163928673982), ('Gebiet North', 0.0038137793198198123), ('South Carolinas', 0.006666340344774335)]"
46,1249,"[('Eisen', 0.00027984490513727374), ('Eisens', 0.0032007261025075685), ('III', 0.004562540279951805), ('reines Eisen', 0.005209751090135324), ('Stahl', 0.007331676139125337), ('Kohlenstoff', 0.00808102098310537), ('Millionen Tonnen', 0.01012634119941675), ('Roheisen', 0.011260823507109321), ('Milligramm Eisen', 0.012594125685904869), ('Form', 0.01280032788809624)]"
47,16651,"[('Stadt', 0.00047611669917189167), ('Mexiko-Stadt', 0.0016235367686787386), ('Hauptstadt', 0.00252911379736569), ('México', 0.002694349274585764), ('Museo Nacional', 0.0029726210949664166), ('Museo', 0.0037311356430734855), ('Mexiko', 0.003918371714516545), ('Stadt Hauptstadt', 0.004955443145753127), ('Prozent', 0.005297392031229111), ('Diego Rivera', 0.006332320380556812)]"
48,61819,"[('São Paulo', 1.3984358416596302e-05), ('São Paulos', 0.0001102296486955238), ('São', 0.00025415328629443354), ('Paulo', 0.00030506278491595443), ('Stadt São', 0.0004886136455781288), ('Stadt', 0.0014692963149859836), ('Grande São', 0.0017920889371370265), ('Paulos', 0.002655840715738898), ('Einwohner São', 0.003606573586278074), ('Grad Celsius', 0.00438166926240299)]"
49,2951,"[('Linux', 0.000622361497806458), ('Linux System', 0.004726144045117733), ('Linux Kernel', 0.00643309467018086), ('Distributionen', 0.008092877958584665), ('Software', 0.008360444152548371), ('Linus Torvalds', 0.0085861423683028), ('Kernel', 0.009144520893553634), ('Torvalds', 0.009459337700178021), ('System', 0.010656154645238829), ('Namen Linux', 0.010779589270998678)]"
50,538,"[('Stadt Bielefeld', 9.273758002716759e-05), ('Bielefeld', 0.0001601807511729628), ('Stadt', 0.0006384858914454891), ('Universität Bielefeld', 0.0009357906475100663), ('Bielefelds', 0.00217657373652673), ('Kreis Bielefeld', 0.002426174565248016), ('Bielefelder', 0.0025522738739859586), ('Stadtgebiet Bielefelds', 0.0030422766589491296), ('Arminia Bielefeld', 0.0035051412807757345), ('Teutoburger Waldes', 0.003939571758497359)]"
51,15102,"[('Deutschen Ordens', 2.4368420747946925e-05), ('Deutschen Orden', 7.19448612558433e-05), ('Deutsche Orden', 0.00017406869969726504), ('Orden', 0.0001845608364334201), ('Ordens', 0.00019846610493182845), ('Deutschen', 0.00036154447124571426), ('Deutscher Orden', 0.0006422102282839805), ('Hochmeister', 0.001874096344793183), ('Geschichte', 0.0026935782261590354), ('Preußen', 0.0027353861789725146)]"
52,2666,"[('Kairo', 0.0003936740570869507), ('Stadt', 0.001700373334813963), ('Stadt Kairo', 0.0020584553937601172), ('Kairos', 0.0027338476186593804), ('Metropolregion Kairo', 0.0034902119338012017), ('Ägypten', 0.004602648463633346), ('Einwohnerzahl Kairos', 0.006388115271229459), ('Grad Celsius', 0.008031662547236442), ('ISBN', 0.008876774389502209), ('Cairo', 0.0093673358188637)]"
53,98407,"[('Venedig', 0.00043169590571773845), ('Venedigs', 0.0013393642203037527), ('Geschichte Venedigs', 0.0038015946029244033), ('Stadt', 0.003804548570714899), ('Republik Venedig', 0.005034232439458849), ('Dogen', 0.005105511608455217), ('Stadt Venedig', 0.006400104786634075), ('Familien', 0.00824653807169538), ('Flotte', 0.008732970925258696), ('Venedigs Anspruch', 0.009391317307509063)]"
54,1935969,"[('Juden', 0.0005336940631454604), ('November', 0.0008632535022648079), ('deutschen Juden', 0.0018207979382507068), ('Deutschen', 0.0027945711698638734), ('ISBN', 0.004299234961021315), ('Deutschen Reich', 0.004356089322513396), ('Pogrome', 0.004460118005720823), ('Berliner Juden', 0.004977614983186684), ('Reich', 0.005803306987028238), ('Reichskristallnacht', 0.006691966548713306)]"
55,3375,"[('Main', 0.00027950618306127155), ('Mains', 0.0013073676304478832), ('Roten Main', 0.0030025733810452085), ('Frankfurt', 0.0033227993043352757), ('Weiße Main', 0.0037271132108721372), ('Weißer Main', 0.004569012774799959), ('Ufer', 0.005257216786398771), ('Rote Main', 0.005665630569004221), ('linken Ufer', 0.00590194662346681), ('Bamberg', 0.006198605629421194)]"
56,18801,"[('Todesstrafe', 6.57598875886999e-05), ('Abschaffung', 0.0018646446445461128), ('Todesstrafe abgeschafft', 0.002321189480172268), ('Verbrechen', 0.002543333858688021), ('Todesurteile', 0.002942226428290165), ('Staaten', 0.0031055318003853), ('Hinrichtungen', 0.003284673296483696), ('Tod', 0.004460362303607721), ('Todesstrafe Art', 0.005129181267746653), ('Täter', 0.005771968015408032)]"
57,2061314,"[('Tuberkulose', 0.0003833437571151696), ('Mycobacterium tuberculosis', 0.0011000229661202036), ('Tuberculosis', 0.0036680955114053886), ('Mykobakterien', 0.0038767762521740496), ('Infektion', 0.004126047011645039), ('Behandlung', 0.004557594399132311), ('Mycobacterium', 0.0048472542484594375), ('Erkrankung', 0.006201112387227051), ('offener Tuberkulose', 0.006646120241913135), ('Tuberkulose Erkrankten', 0.00723180122724078)]"
58,2765,"[('Karl', 0.00018505124373570486), ('Karls', 0.0003438868946088515), ('Karls Tod', 0.001907010523728968), ('Hof Karls', 0.002141675033363643), ('Kaiserkrönung Karls', 0.002242925563751661), ('Sachsen', 0.0028435057161268307), ('Karl Martell', 0.0034332259392672263), ('Kaiser Karl', 0.0034449989959220084), ('ISBN', 0.003493197765372569), ('Karls Herrschaft', 0.004070115443847167)]"
59,140,"[('Aristoteles', 0.00017585426891470745), ('Aristoteles unterscheidet', 0.001583615531921976), ('Form', 0.0016375975726810265), ('Schriften', 0.0029574747109629563), ('ISBN', 0.0033364375162413906), ('hält Aristoteles', 0.003447831864130739), ('unterscheidet Aristoteles', 0.0035631349468244465), ('Materie', 0.004964348467950075), ('Prämissen', 0.005360661014669105), ('Aristotle', 0.0054064498860528585)]"
