,pageid,RAKE_keywords
42,10527,"[('3 %', 0.00047619047619047673), ('5 %', 0.0008163265306122458), ('2 %', 0.0009863945578231304), ('18 %', 0.0009863945578231304), ('4 %', 0.0011564625850340139), ('15 %', 0.0011564625850340139), ('8 %', 0.0013265306122448983), ('23 %', 0.0013265306122448983), ('13 %', 0.0013265306122448983), ('10 %', 0.0013265306122448983)]"
43,42116,"[('stadt vancouver', 0.00047619047619047673), ('vancouver befindet', 0.002063492063492064), ('vancouver aufgrund', 0.0021957671957671967), ('hafen vancouver', 0.0021957671957671967), ('wobei vancouver', 0.002328042328042329), ('vancouver island', 0.002328042328042329), ('vancouver gilt', 0.002328042328042329), ('vancouver fanden', 0.002328042328042329), ('vancouver besitzt', 0.002328042328042329), ('vancouver 2004', 0.002328042328042329)]"
44,3984,"[('pest infiziert', 0.00047619047619047673), ('pest hängt', 0.0010364145658263314), ('pest führte', 0.0010364145658263314), ('pest bzw', 0.0010364145658263314), ('bezeichnet pest', 0.0010364145658263314), ('pest infizierte', 0.0013165266106442586), ('pest gestorben', 0.0013165266106442586), ('pest gehört', 0.0013165266106442586), ('pest folgt', 0.0013165266106442586), ('pest erkrankten', 0.0013165266106442586)]"
45,22203,"[('4 %', 0.00047619047619047673), ('staates liegt', 0.0011564625850340139), ('3 %', 0.0011564625850340139), ('ländlichen countys', 0.001836734693877552), ('7 %', 0.001836734693877552), ('65 %', 0.001836734693877552), ('4 °', 0.001836734693877552), ('30 countys', 0.001836734693877552), ('12 %', 0.001836734693877552), ('0 %', 0.001836734693877552)]"
46,1249,"[('eisen enthält', 0.00047619047619047673), ('eisen :', 0.00047619047619047673), ('eisen entwickelt', 0.0006705539358600588), ('reinem eisen', 0.0008649173955296407), ('eisen bezeichnet', 0.0008649173955296407), ('eisen besteht', 0.0010592808551992228), ('erzeugte eisen', 0.0012536443148688048), ('eisen führt', 0.0012536443148688048), ('eisen bildet', 0.0012536443148688048), ('wodurch eisen', 0.0014480077745383868)]"
47,16651,"[('stadt mexiko', 0.00047619047619047673), ('stadt hauptstadt', 0.0011111111111111115), ('stadt befindet', 0.0011111111111111115), ('stadt “', 0.0017460317460317465), ('stadt liegt', 0.0019047619047619048), ('moderne stadt', 0.0019047619047619048), ('stadt steht', 0.0022222222222222222), ('stadt 3', 0.0022222222222222222), ('stadt veracruz', 0.002380952380952381), ('stadt eröffnet', 0.002380952380952381)]"
48,61819,"[('9 prozent', 0.00047619047619047673), ('5 prozent', 0.00047619047619047673), ('30 prozent', 0.00047619047619047673), ('14 prozent', 0.00047619047619047673), ('prozent anfang', 0.0009523809523809524), ('90 prozent', 0.0009523809523809524), ('8 prozent', 0.0009523809523809524), ('60 prozent', 0.0009523809523809524), ('50 prozent', 0.0009523809523809524), ('22 prozent', 0.0009523809523809524)]"
49,2951,"[('linux eingesetzt', 0.00047619047619047673), ('linux besteht', 0.00047619047619047673), ('einzelnen linux', 0.00047619047619047673), ('linux veröffentlicht', 0.0006593406593406592), ('verfügt linux', 0.0008424908424908428), ('tanenbaum linux', 0.0008424908424908428), ('namen linux', 0.0008424908424908428), ('linux verfügt', 0.0008424908424908428), ('linux beispielsweise', 0.0008424908424908428), ('klassischen linux', 0.0008424908424908428)]"
50,538,"[('stadt bielefeld', 0.00047619047619047673), ('bielefeld befindet', 0.00101123595505618), ('liegt bielefeld', 0.0017602996254681646), ('bielefeld liegt', 0.0017602996254681646), ('bielefeld befinden', 0.0017602996254681646), ('bielefeld erhalten', 0.001974317817014446), ('theater bielefeld', 0.0020813269127875865), ('bielefeld :', 0.0020813269127875865), ('kunsthalle bielefeld', 0.0021883360085607284), ('kreis bielefeld', 0.0021883360085607284)]"
51,15102,"[('deutschen orden', 0.00047619047619047673), ('deutschen ordens', 0.0010152740341419597), ('deutschen reich', 0.0031716082659478894), ('deutschen geschichte', 0.0031716082659478894), ('deutschen balleien', 0.0035309973045822107), ('deutschen osten', 0.0037106918238993714), ('deutschen ritterordens', 0.003890386343216532), (': „', 0.003890386343216532), ('deutschen historikern', 0.004070080862533694), ('deutsche orden', 0.004070080862533694)]"
52,2666,"[('stadt kairo', 0.00047619047619047673), ('kairo liegt', 0.002063492063492064), ('kairo befinden', 0.002063492063492064), ('kairo befindet', 0.0024603174603174617), ('kairo ),', 0.0024603174603174617), ('moderne kairo', 0.0026587301587301594), ('kairo ungefähr', 0.0026587301587301594), ('kairo steht', 0.0026587301587301594), ('kairo stand', 0.0026587301587301594), ('kairo gehört', 0.0026587301587301594)]"
